@relation 'bank-weka.filters.unsupervised.attribute.Remove-R2-5,7-11,13-15'

@attribute age numeric
@attribute balance numeric
@attribute duration numeric
@attribute poutcome {unknown,failure,other,success}
@attribute y {no,yes}

@data
49,5996,345,unknown,no
57,3777,65,unknown,no
34,524,9,unknown,no
32,574,259,failure,no
37,427,371,unknown,no
33,483,280,unknown,no
56,3391,243,unknown,yes
27,0,435,unknown,no
21,2488,258,success,yes
58,1517,7,unknown,no
32,217,317,unknown,no
33,22,76,failure,no
25,331,170,unknown,yes
25,505,386,unknown,yes
30,1808,83,unknown,no
22,4111,65,unknown,no
39,52,69,unknown,no
46,25,564,unknown,no
31,1890,588,unknown,no
45,419,113,unknown,no
32,2693,16,unknown,no
36,-231,779,unknown,no
51,-55,281,failure,no
34,462,1877,unknown,yes
24,119,51,unknown,no
45,586,32,unknown,no
32,228,176,failure,no
77,4659,161,unknown,yes
41,168,187,unknown,no
37,0,24,unknown,no
43,-715,67,unknown,no
48,0,85,failure,no
27,769,317,unknown,no
33,0,236,unknown,no
29,428,54,failure,no
34,0,71,unknown,no
52,-970,489,unknown,yes
60,6313,39,unknown,no
32,948,204,unknown,no
32,0,455,unknown,no
56,1877,86,unknown,no
31,874,190,unknown,no
42,323,280,unknown,no
35,106,588,unknown,no
56,1906,45,unknown,no
48,1152,168,unknown,no
46,179,194,other,no
37,391,103,unknown,no
41,89,333,unknown,no
36,442,102,unknown,no
45,-249,92,unknown,no
55,8104,213,unknown,no
39,501,289,unknown,no
35,308,77,unknown,no
55,602,324,success,yes
55,273,84,failure,no
27,50,168,unknown,no
34,1641,380,unknown,no
34,20,10,unknown,no
25,4590,199,unknown,no
41,-256,35,unknown,no
43,978,82,unknown,no
28,80,676,failure,yes
31,2104,455,unknown,no
78,499,80,unknown,no
45,1269,549,unknown,no
48,310,135,unknown,no
32,1143,412,unknown,no
42,2980,101,unknown,no
37,37,253,unknown,no
40,462,272,other,no
32,1031,84,unknown,no
42,9009,135,unknown,no
43,-465,166,unknown,no
44,5181,18,unknown,no
37,176,147,failure,no
37,1699,63,unknown,no
37,0,65,failure,no
28,172,194,unknown,no
32,0,333,unknown,no
34,6979,14,unknown,no
40,6,140,unknown,no
34,-62,109,unknown,no
34,1972,61,unknown,no
34,899,377,success,no
37,21,96,other,no
36,23,152,failure,no
56,-1206,382,unknown,yes
49,0,97,unknown,no
33,215,543,unknown,no
30,1372,240,unknown,no
36,1981,48,unknown,no
23,9216,471,unknown,no
57,39,354,unknown,no
27,5563,435,unknown,no
38,1,152,unknown,no
42,782,285,unknown,no
75,3771,185,success,yes
34,992,301,success,no
48,1526,273,unknown,no
35,2658,768,failure,yes
39,1315,1337,failure,no
29,455,403,unknown,yes
45,0,139,unknown,no
42,2030,196,unknown,no
29,1599,115,failure,no
38,-196,60,failure,no
56,1333,17,unknown,no
36,9149,141,unknown,no
25,-350,95,unknown,no
38,432,10,other,no
57,11494,198,unknown,no
31,-253,220,unknown,no
42,372,654,unknown,yes
45,1410,71,unknown,no
30,975,256,failure,no
49,305,834,unknown,no
49,400,151,unknown,no
53,-22,20,unknown,no
37,4030,178,unknown,no
49,365,59,unknown,no
41,204,111,unknown,no
54,1691,186,unknown,no
32,406,227,unknown,no
33,-204,297,unknown,no
33,359,210,other,no
36,123,9,unknown,no
35,0,112,other,no
52,142,112,unknown,no
40,3571,222,unknown,no
44,33,195,failure,no
45,0,768,success,no
30,3096,123,unknown,no
48,20,145,unknown,no
33,3576,124,other,no
57,206,216,unknown,no
57,7082,69,unknown,no
51,1634,168,unknown,no
34,1,483,unknown,no
50,4012,690,unknown,no
44,3762,125,unknown,no
27,-247,344,unknown,no
50,606,673,unknown,no
36,0,60,other,no
42,-189,247,unknown,no
32,0,123,unknown,no
42,484,144,unknown,no
43,0,9,failure,no
31,395,155,unknown,no
32,2349,134,unknown,no
55,410,221,unknown,no
58,3401,84,failure,no
46,222,71,unknown,no
55,989,246,unknown,no
34,415,361,unknown,no
28,16,119,unknown,no
42,7190,375,unknown,no
29,482,1097,unknown,yes
54,209,97,unknown,no
32,0,181,unknown,no
39,5803,83,unknown,no
53,624,180,unknown,no
58,883,543,failure,no
40,1516,373,unknown,no
29,872,230,unknown,no
33,-988,83,unknown,no
38,902,58,unknown,no
56,1007,88,unknown,no
40,0,297,failure,no
24,174,487,unknown,yes
46,12186,29,unknown,no
35,524,484,unknown,no
35,0,262,unknown,no
34,4,644,unknown,no
35,11219,699,failure,no
38,0,247,unknown,no
50,5776,49,unknown,no
51,37,341,unknown,no
59,593,64,unknown,no
32,1148,121,unknown,no
37,3561,98,unknown,no
42,63,88,unknown,no
40,260,197,unknown,no
28,2269,331,unknown,no
47,1060,83,unknown,no
27,-220,138,unknown,no
41,49,312,unknown,no
34,69,120,success,yes
50,4108,526,unknown,yes
47,480,211,unknown,no
53,4994,62,unknown,no
53,0,135,unknown,no
47,3681,101,unknown,no
49,-701,988,unknown,yes
29,451,451,unknown,no
45,-311,1030,unknown,yes
38,593,1484,unknown,yes
32,759,317,unknown,yes
70,4531,445,unknown,no
65,1840,383,failure,no
56,345,605,unknown,no
35,1287,330,unknown,no
56,353,171,unknown,no
56,205,442,unknown,no
49,687,772,unknown,yes
38,1147,249,unknown,no
35,4286,357,unknown,no
38,605,147,unknown,no
49,8545,199,failure,no
55,559,271,unknown,no
43,2,783,unknown,no
43,2,472,unknown,no
25,760,223,failure,yes
30,1317,395,unknown,no
46,182,56,unknown,no
50,276,641,unknown,no
35,2971,429,failure,yes
26,1064,113,unknown,no
45,1783,11,unknown,no
37,-67,157,unknown,no
60,179,79,unknown,no
38,1199,178,success,yes
47,214,168,unknown,no
33,6699,425,failure,no
51,1760,162,unknown,no
35,145,799,unknown,yes
35,978,1370,success,yes
48,1150,357,unknown,no
37,121,22,unknown,no
29,828,215,other,no
34,244,56,unknown,no
32,228,1017,unknown,yes
30,424,298,unknown,yes
47,447,126,unknown,no
33,-195,9,unknown,no
33,1410,8,failure,no
63,1084,201,success,no
51,10924,106,unknown,no
41,832,164,failure,no
56,478,97,unknown,no
60,0,151,unknown,no
41,3950,96,unknown,no
37,504,555,unknown,no
36,219,270,failure,no
57,1602,339,unknown,no
55,2587,328,success,yes
44,0,159,unknown,no
47,2303,323,failure,no
31,1660,342,unknown,no
35,32,180,unknown,no
39,278,60,unknown,no
50,4,223,failure,no
29,318,1434,failure,no
30,209,30,unknown,no
46,271,134,unknown,no
27,3196,10,unknown,no
48,4099,397,unknown,yes
26,2572,620,unknown,no
36,339,6,unknown,no
42,0,209,unknown,no
50,395,419,unknown,no
49,2039,283,unknown,no
45,5450,188,unknown,no
23,780,267,unknown,no
38,0,196,unknown,no
32,8436,245,failure,no
60,11262,323,unknown,yes
30,946,1065,other,no
58,497,138,unknown,no
60,55,207,unknown,no
38,-140,456,unknown,no
51,-379,261,unknown,no
42,-396,80,failure,no
30,0,131,failure,no
40,733,94,unknown,no
37,393,567,failure,yes
53,7290,153,unknown,no
27,468,109,unknown,no
39,0,53,failure,no
39,3705,77,unknown,no
59,9676,234,unknown,yes
37,1328,121,failure,no
41,8,155,unknown,no
45,61,108,unknown,no
48,6613,159,unknown,no
48,302,208,unknown,no
32,1005,215,unknown,no
35,109,597,unknown,no
33,1240,505,other,no
28,0,380,unknown,no
64,2923,120,unknown,no
35,0,106,unknown,no
33,43,332,failure,no
41,288,221,unknown,no
34,613,80,unknown,no
37,6101,60,success,no
38,168,212,unknown,no
39,7685,493,unknown,no
35,4515,98,unknown,no
28,517,681,unknown,yes
27,148,203,unknown,no
48,-285,157,unknown,no
50,887,287,unknown,no
45,3098,159,unknown,no
41,744,125,unknown,no
39,130,202,unknown,no
44,438,37,failure,no
54,0,161,failure,yes
49,322,72,unknown,no
34,186,342,unknown,no
75,3810,262,failure,yes
42,0,325,unknown,no
53,4380,223,unknown,no
49,755,1212,unknown,yes
31,2070,319,unknown,no
45,999,182,unknown,no
39,167,330,unknown,no
46,1322,514,unknown,no
42,1076,213,unknown,no
37,502,551,failure,no
26,1216,472,unknown,no
37,876,140,failure,no
36,342,142,unknown,no
29,950,135,unknown,no
36,973,293,unknown,no
26,3825,107,unknown,no
32,2366,127,unknown,no
40,542,1816,unknown,no
53,995,200,unknown,no
29,20,418,unknown,no
34,228,387,unknown,no
43,130,156,failure,no
56,217,121,unknown,no
55,0,108,unknown,no
31,259,47,unknown,no
27,619,16,other,no
36,644,54,unknown,no
44,22,265,unknown,no
37,4303,168,unknown,no
30,239,115,unknown,no
42,275,31,unknown,no
30,1221,279,unknown,yes
62,816,28,unknown,no
24,1222,369,unknown,no
31,2363,247,unknown,no
66,2262,155,unknown,no
47,2,89,unknown,no
39,2,180,unknown,no
35,4508,854,unknown,yes
35,-402,46,unknown,no
27,1577,266,unknown,no
32,34,321,unknown,no
44,795,99,unknown,no
42,117,147,unknown,no
34,5462,430,unknown,yes
25,402,264,unknown,no
40,641,156,unknown,no
43,36,118,failure,no
55,383,343,unknown,no
50,283,226,unknown,no
45,0,5,unknown,no
35,3102,138,unknown,no
32,889,185,success,yes
59,0,722,failure,no
34,-370,748,unknown,no
39,-606,142,unknown,no
40,10378,523,unknown,no
36,1313,8,unknown,no
40,8969,153,unknown,no
55,-196,210,unknown,no
38,15,121,unknown,no
61,4608,212,unknown,yes
41,666,253,unknown,no
57,452,139,unknown,no
48,149,71,unknown,no
77,7802,421,success,yes
35,1453,199,unknown,no
54,1480,108,unknown,no
37,715,247,unknown,no
56,237,236,unknown,no
40,694,97,failure,no
40,0,109,unknown,no
54,55,112,unknown,no
55,136,15,unknown,no
55,-404,502,unknown,no
52,779,30,unknown,no
55,1187,193,unknown,no
33,641,347,unknown,no
52,826,468,unknown,no
33,991,148,unknown,no
53,1796,295,success,yes
46,22,388,unknown,yes
44,244,1735,unknown,yes
48,1328,339,unknown,no
50,7317,172,failure,no
34,4943,117,unknown,no
38,258,587,unknown,no
42,515,501,unknown,no
32,12607,203,failure,no
58,2,282,unknown,no
31,13,110,unknown,no
19,103,104,unknown,yes
41,3872,231,unknown,no
31,296,378,unknown,no
52,217,193,unknown,no
42,360,110,unknown,no
41,428,92,unknown,no
30,315,1407,unknown,yes
38,121,168,failure,no
32,820,738,unknown,no
52,195,220,failure,yes
48,108,89,unknown,no
36,-381,30,unknown,no
45,757,103,failure,no
34,691,70,unknown,no
36,1925,904,unknown,yes
34,902,159,other,no
61,5207,336,other,no
54,0,220,unknown,no
50,665,238,unknown,no
43,738,585,failure,no
47,233,293,unknown,no
45,-839,68,unknown,no
57,5799,97,unknown,no
27,1033,1713,unknown,no
49,66,218,unknown,no
43,2567,109,failure,no
40,1584,661,unknown,no
32,182,145,unknown,no
58,76,54,unknown,no
34,663,111,unknown,no
46,3455,566,unknown,no
29,15,136,unknown,no
52,1054,273,unknown,no
45,1529,160,unknown,no
26,63,76,unknown,no
40,0,44,unknown,no
41,920,239,unknown,no
47,3696,250,success,yes
27,59,792,unknown,no
27,0,198,unknown,no
48,157,73,unknown,no
49,2465,157,unknown,no
35,0,90,unknown,no
47,2,236,unknown,no
54,0,118,unknown,no
39,12437,40,unknown,no
28,378,346,unknown,no
54,211,200,unknown,no
34,-228,187,other,no
63,2747,113,failure,no
42,1932,192,unknown,no
43,11269,92,unknown,no
37,1314,682,success,no
55,2275,139,unknown,no
43,1304,501,unknown,yes
41,720,651,unknown,yes
47,2914,405,unknown,no
34,1464,350,unknown,no
28,11555,125,unknown,no
36,-302,36,unknown,no
50,2497,35,failure,no
35,-339,389,unknown,no
40,56,194,failure,no
26,211,168,unknown,no
36,3611,347,unknown,no
59,0,3025,unknown,no
28,459,83,unknown,no
46,242,332,unknown,no
50,1138,219,unknown,no
53,1319,427,failure,no
81,1,65,unknown,no
35,67,192,unknown,no
58,937,155,unknown,no
44,0,161,unknown,no
38,-558,533,unknown,no
49,171,19,other,no
33,696,193,failure,no
29,361,819,unknown,no
28,227,278,unknown,yes
31,236,211,unknown,no
33,-53,617,unknown,no
52,192,61,unknown,no
43,38,197,unknown,no
32,518,34,unknown,no
36,16,95,unknown,no
41,-256,147,unknown,no
43,105,668,unknown,no
45,334,87,unknown,no
39,1048,405,unknown,no
41,108,83,unknown,no
31,660,115,unknown,no
37,0,108,unknown,no
28,1034,113,unknown,no
47,201,58,failure,no
37,189,148,unknown,no
60,-49,188,failure,no
43,1413,75,unknown,no
58,264,523,unknown,no
52,54,103,unknown,no
50,12519,146,success,no
32,2881,356,unknown,yes
42,0,71,unknown,no
31,88,189,unknown,no
28,1020,251,unknown,no
36,119,127,unknown,no
51,1594,197,unknown,no
46,342,84,unknown,no
50,72,141,unknown,no
32,14,171,unknown,no
26,81,262,unknown,no
41,231,352,unknown,yes
39,1161,236,failure,no
31,-45,184,unknown,no
28,231,568,unknown,no
31,36,105,unknown,no
30,1570,260,unknown,no
35,7050,222,success,yes
33,3704,447,unknown,no
30,6619,239,unknown,no
32,-84,426,unknown,no
40,1509,333,failure,no
31,1134,174,unknown,no
36,146,284,unknown,no
33,9449,428,unknown,no
57,374,236,unknown,no
45,88,150,unknown,no
59,2764,237,failure,no
30,2,1031,unknown,yes
33,8023,107,failure,no
52,289,45,unknown,no
83,0,140,unknown,no
58,1382,700,unknown,yes
33,280,155,unknown,no
41,2195,211,unknown,no
31,33,165,unknown,no
35,275,144,unknown,no
27,703,590,unknown,yes
57,887,43,unknown,no
56,0,471,unknown,no
53,1178,295,unknown,no
39,2763,526,unknown,yes
32,890,27,unknown,no
46,548,1181,unknown,yes
56,272,103,unknown,no
46,6269,249,failure,no
29,178,231,unknown,no
60,252,123,failure,no
33,23663,199,failure,no
27,81,197,failure,no
50,59,67,unknown,no
45,1343,220,unknown,no
58,225,122,unknown,no
59,0,104,unknown,no
58,2538,307,unknown,no
64,43,117,success,no
47,57,253,success,no
40,-117,770,unknown,no
36,666,190,other,no
28,0,767,unknown,yes
38,25,232,unknown,yes
53,1034,854,other,no
46,324,293,unknown,no
54,0,986,failure,no
32,0,66,unknown,no
55,621,114,failure,no
55,138,205,unknown,no
56,4063,31,unknown,no
40,11084,113,unknown,no
44,310,200,failure,no
32,73,158,failure,no
33,1808,99,unknown,no
41,1281,45,unknown,no
37,64,239,other,no
58,2,168,unknown,no
52,60,196,unknown,no
49,133,319,unknown,no
44,3706,209,unknown,no
28,174,184,unknown,no
31,251,156,unknown,no
37,4153,35,unknown,no
30,985,88,unknown,no
28,168,347,success,yes
46,1550,126,failure,no
47,7708,157,unknown,no
35,-12,212,unknown,no
80,6483,123,unknown,no
30,60,306,unknown,no
55,3339,63,unknown,no
22,1161,119,unknown,no
33,599,29,unknown,no
53,28,117,unknown,no
49,1430,231,unknown,no
51,35,123,unknown,no
41,6000,265,unknown,no
34,0,144,unknown,no
36,340,559,unknown,no
35,0,74,failure,no
29,3,183,unknown,no
40,445,631,unknown,no
32,874,1282,unknown,yes
48,705,108,unknown,no
59,1033,1199,unknown,yes
35,1354,736,unknown,yes
33,123,264,unknown,no
55,8894,262,unknown,no
41,429,244,unknown,no
42,14752,107,unknown,no
46,67,9,unknown,no
35,39,149,unknown,no
28,102,321,unknown,no
25,1790,224,failure,no
56,15311,157,unknown,no
30,-635,250,unknown,no
45,115,209,unknown,no
40,10786,111,unknown,no
40,498,55,failure,no
39,1045,290,unknown,no
48,810,383,unknown,no
31,-162,380,unknown,no
32,55,124,unknown,no
34,586,224,unknown,no
26,455,240,other,no
31,1010,385,other,no
37,509,133,unknown,no
29,2929,91,unknown,no
57,3071,63,unknown,no
47,153,192,unknown,no
38,1146,91,unknown,no
48,1092,79,failure,no
50,3463,96,unknown,yes
33,1158,25,unknown,no
28,26,227,unknown,no
30,566,110,unknown,no
52,204,134,unknown,no
36,480,213,unknown,yes
36,1855,75,failure,no
46,1034,109,unknown,no
57,3250,162,unknown,no
28,1633,275,unknown,yes
46,0,154,other,no
55,3334,632,unknown,yes
33,4020,251,unknown,no
53,66,141,unknown,no
41,-41,154,unknown,no
60,322,63,unknown,no
35,2643,259,unknown,no
43,49,100,unknown,no
57,1,17,unknown,no
46,3098,192,unknown,no
31,352,97,unknown,no
53,65,41,unknown,no
35,1949,200,unknown,no
32,739,91,unknown,no
48,1167,264,unknown,yes
50,231,397,unknown,no
40,1136,86,unknown,no
42,233,446,unknown,no
59,817,304,unknown,no
27,1128,88,unknown,no
32,1831,86,unknown,no
35,450,63,unknown,no
28,0,335,failure,no
37,414,293,failure,no
57,1052,227,unknown,no
42,1022,146,unknown,no
55,343,276,unknown,no
52,1944,238,failure,no
26,-32,14,unknown,no
52,1781,144,unknown,no
26,350,367,unknown,no
33,2,132,unknown,no
24,111,42,unknown,no
37,168,227,unknown,no
28,3,40,failure,no
30,102,614,unknown,no
33,0,270,unknown,no
55,159,15,unknown,no
33,1134,304,unknown,no
42,352,79,unknown,no
37,865,101,unknown,no
59,179,55,unknown,no
27,5,205,unknown,no
23,-230,259,unknown,no
51,0,60,unknown,no
50,3924,122,unknown,no
43,764,557,unknown,no
37,511,42,unknown,no
34,4348,373,unknown,no
41,3016,80,unknown,no
26,279,239,unknown,no
49,1405,29,unknown,no
29,908,1663,unknown,yes
30,162,186,unknown,no
38,792,430,unknown,no
58,111,58,unknown,no
34,1281,279,failure,no
53,1012,332,unknown,no
50,2881,510,other,no
30,445,218,failure,no
40,643,74,failure,no
57,254,676,unknown,no
40,-1212,1259,failure,no
41,2125,285,failure,no
53,629,298,unknown,no
48,-202,225,unknown,no
32,271,80,other,no
34,703,342,unknown,yes
46,-216,404,unknown,no
45,88,332,unknown,no
51,16,158,unknown,no
31,466,164,unknown,no
47,-75,57,other,no
32,456,121,unknown,no
41,77,56,unknown,no
37,-244,178,unknown,no
27,1209,283,unknown,no
27,58,113,other,no
50,421,22,unknown,no
31,112,159,failure,no
40,13669,138,other,no
43,1429,1015,other,yes
39,794,182,unknown,no
31,1957,112,unknown,no
48,454,114,unknown,no
32,882,80,unknown,no
47,168,66,other,no
35,714,135,unknown,no
42,0,99,unknown,no
47,1996,761,unknown,yes
59,163,464,unknown,no
38,3190,20,unknown,no
50,1772,206,unknown,no
27,-151,283,unknown,no
55,16,64,unknown,no
39,7066,667,other,yes
31,454,73,unknown,no
37,4798,156,unknown,no
28,-298,559,unknown,no
42,439,143,unknown,no
40,1927,62,unknown,no
59,671,219,failure,no
40,65,15,unknown,no
43,-932,567,unknown,no
38,4366,188,unknown,no
54,0,159,unknown,no
41,4900,121,unknown,no
55,976,345,other,yes
33,148,717,unknown,no
46,5,71,unknown,no
36,-148,144,unknown,no
48,113,38,unknown,no
42,-105,60,unknown,no
46,624,336,success,yes
49,-1680,92,unknown,no
36,-461,254,failure,no
34,144,104,failure,no
51,4,74,unknown,no
58,309,156,unknown,no
48,866,146,unknown,no
41,1020,882,unknown,yes
49,489,84,unknown,no
43,8167,114,unknown,no
32,-255,957,unknown,no
54,3671,67,unknown,no
33,636,211,unknown,no
35,141,299,unknown,no
56,150,102,failure,no
57,839,225,unknown,no
31,26965,654,unknown,yes
33,716,234,unknown,no
29,2485,48,unknown,no
38,15030,167,other,no
37,11303,500,unknown,no
33,595,22,unknown,no
30,19358,258,unknown,no
31,203,177,unknown,no
28,183,62,unknown,no
26,255,457,success,yes
31,102,460,failure,no
50,94,184,unknown,no
45,58,119,failure,no
48,606,77,unknown,no
41,0,107,unknown,no
60,65,1028,unknown,yes
41,338,87,unknown,no
43,757,315,unknown,no
36,9269,107,unknown,no
40,1206,201,unknown,no
28,882,94,failure,no
27,5291,192,failure,yes
49,61,185,failure,no
37,0,77,unknown,no
31,1407,142,unknown,no
31,25,381,unknown,no
31,1354,222,unknown,no
35,793,106,unknown,no
51,10287,117,unknown,no
33,5235,67,unknown,no
30,3,45,failure,no
58,409,643,unknown,no
34,35,76,failure,no
45,-459,508,unknown,no
28,198,128,unknown,yes
31,99,193,other,no
40,60,172,unknown,no
30,3485,142,unknown,no
34,-139,492,unknown,no
40,952,140,unknown,no
59,1427,140,unknown,no
43,1017,257,unknown,no
41,-29,41,failure,no
33,9,91,unknown,no
33,4040,132,unknown,no
36,13,284,unknown,no
32,1259,184,unknown,no
25,18,225,unknown,no
25,-76,241,unknown,no
38,221,79,unknown,no
34,136,156,unknown,no
67,16353,223,unknown,no
32,-63,198,unknown,no
45,7353,536,unknown,no
33,511,304,unknown,no
38,3913,196,failure,no
32,1097,298,unknown,no
54,6102,86,unknown,no
51,340,186,unknown,no
42,-119,167,unknown,no
41,2993,24,unknown,no
39,3575,74,unknown,no
38,361,601,unknown,no
39,1072,1168,unknown,no
46,2904,277,unknown,no
50,1790,748,unknown,no
33,86,364,unknown,no
37,1633,229,unknown,no
31,8312,43,unknown,no
34,172,177,unknown,yes
34,0,262,success,yes
36,222,317,failure,no
40,109,402,unknown,no
40,1451,314,unknown,yes
41,1066,109,unknown,yes
52,3163,56,unknown,no
40,888,169,unknown,no
48,428,127,unknown,no
33,106,175,unknown,no
44,0,56,unknown,no
55,979,123,unknown,no
51,2662,148,unknown,no
34,84,231,unknown,no
58,5920,255,unknown,no
39,816,37,unknown,no
27,3276,106,other,no
55,2,95,unknown,no
35,-51,134,unknown,no
37,3315,820,unknown,no
52,196,116,failure,no
41,552,463,unknown,no
52,2347,603,unknown,no
34,3723,47,unknown,no
53,255,126,unknown,no
33,3143,421,unknown,yes
47,0,174,unknown,no
35,6411,144,failure,no
33,1909,191,unknown,no
55,3873,222,unknown,no
58,1013,206,failure,yes
44,262,74,unknown,no
25,3217,24,unknown,no
37,5436,7,failure,no
41,2067,493,unknown,no
34,215,350,unknown,yes
36,1594,250,unknown,no
44,134,86,unknown,no
34,262,371,unknown,no
56,3021,419,unknown,no
43,388,2087,unknown,yes
28,3412,22,unknown,no
54,1291,266,unknown,no
37,79,191,unknown,no
59,2013,222,success,yes
58,543,264,unknown,no
56,1016,184,unknown,no
32,604,95,unknown,no
42,525,127,unknown,no
52,353,395,unknown,no
46,964,174,unknown,no
37,3913,124,unknown,yes
39,879,102,unknown,no
31,314,279,unknown,no
59,0,76,unknown,no
38,1370,472,unknown,no
58,37,84,unknown,no
34,673,271,failure,no
40,-342,754,unknown,no
20,291,172,failure,no
34,209,375,unknown,no
31,438,130,unknown,no
39,1242,303,unknown,no
34,355,261,unknown,no
24,204,229,unknown,no
41,10758,288,unknown,no
40,5,219,unknown,no
45,410,891,unknown,yes
36,605,204,unknown,no
53,4,19,unknown,no
23,8494,158,unknown,no
42,198,314,unknown,no
48,841,215,unknown,no
34,8,169,unknown,no
36,470,101,unknown,no
43,520,15,unknown,no
36,439,260,unknown,no
49,-454,558,unknown,yes
55,466,287,unknown,no
53,665,371,unknown,yes
42,994,149,failure,yes
45,5346,187,unknown,yes
31,1243,32,unknown,no
32,0,138,unknown,no
36,2357,228,unknown,no
56,1044,353,unknown,yes
46,1069,45,unknown,no
41,231,76,unknown,no
31,0,144,unknown,no
32,266,168,unknown,no
38,-70,140,other,no
49,25824,94,unknown,no
46,538,118,unknown,no
29,534,382,unknown,no
36,2323,111,unknown,no
38,1852,298,unknown,no
53,2647,121,unknown,no
43,2767,317,unknown,no
41,176,42,unknown,no
42,9720,81,unknown,no
55,1613,296,failure,yes
39,2903,259,unknown,no
30,81,121,other,no
41,780,432,unknown,no
44,178,126,unknown,no
58,299,120,unknown,no
35,285,136,unknown,no
27,872,1130,unknown,no
34,1337,330,success,yes
25,72,305,unknown,no
36,0,332,unknown,no
38,-388,412,unknown,no
30,11,157,unknown,no
47,-535,71,unknown,no
41,787,297,unknown,no
36,3343,307,unknown,no
63,3904,250,success,yes
23,736,119,unknown,no
32,1390,116,unknown,no
57,808,274,unknown,no
48,1147,389,success,yes
49,1122,143,unknown,no
50,-568,860,unknown,no
33,1165,420,unknown,no
53,-905,213,unknown,no
30,0,756,unknown,no
38,740,259,unknown,no
44,8262,201,unknown,no
39,14,19,unknown,no
45,7108,53,failure,no
36,1049,224,unknown,yes
38,0,57,other,no
36,419,251,unknown,no
30,726,39,failure,no
28,594,54,unknown,no
26,454,28,unknown,no
54,2206,104,other,yes
38,1988,164,failure,yes
32,0,268,unknown,no
50,202,148,unknown,no
43,667,228,unknown,no
48,112,139,unknown,no
57,50,89,unknown,no
64,768,250,success,no
26,74,106,unknown,no
33,661,968,unknown,yes
50,3025,168,unknown,no
47,751,408,unknown,no
39,416,56,unknown,no
52,14,55,unknown,no
31,-502,76,unknown,no
50,0,72,unknown,no
47,599,99,unknown,no
30,-218,13,unknown,no
32,1012,178,unknown,no
36,300,287,unknown,no
46,217,141,other,no
45,2096,127,failure,no
37,0,69,unknown,no
58,5278,763,unknown,no
59,1831,122,failure,no
28,1480,143,unknown,no
48,7289,316,unknown,no
55,1665,89,unknown,no
37,851,151,failure,no
41,2885,40,unknown,no
35,137,5,failure,no
34,1239,90,unknown,no
43,146,50,other,no
59,1,159,failure,yes
50,-10,369,unknown,no
37,480,344,other,yes
35,2789,256,failure,no
50,3897,298,unknown,no
36,487,268,unknown,no
41,5110,231,unknown,no
28,318,4,unknown,no
42,-411,78,failure,no
60,4820,419,unknown,no
28,4937,421,unknown,no
