@relation 'income50-weka.filters.unsupervised.attribute.Remove-R1-4,7,9-10,13-14'

@attribute education-num numeric
@attribute marital-status {Married-civ-spouse,Divorced,Never-married,Separated,Widowed,Married-spouse-absent,Married-AF-spouse}
@attribute relationship {Wife,Own-child,Husband,Not-in-family,Other-relative,Unmarried}
@attribute capital-gain numeric
@attribute capital-loss numeric
@attribute above50 {>50K,<=50K}

@data
4,Married-spouse-absent,Not-in-family,0,0,<=50K
9,Married-civ-spouse,Husband,0,0,<=50K
16,Married-civ-spouse,Husband,0,0,>50K
10,Divorced,Not-in-family,0,0,<=50K
9,Married-civ-spouse,Husband,0,0,<=50K
10,Divorced,Not-in-family,0,0,<=50K
9,Married-civ-spouse,Wife,0,0,>50K
10,Married-civ-spouse,Husband,0,0,>50K
10,Never-married,Own-child,0,0,<=50K
10,Never-married,Own-child,0,0,<=50K
13,Separated,Own-child,0,0,<=50K
13,Married-civ-spouse,Husband,0,0,>50K
10,Never-married,Not-in-family,0,0,<=50K
10,Married-civ-spouse,Other-relative,0,0,<=50K
9,Never-married,Own-child,0,0,<=50K
12,Married-civ-spouse,Husband,0,0,<=50K
6,Married-civ-spouse,Husband,0,0,<=50K
7,Never-married,Own-child,0,0,<=50K
4,Married-civ-spouse,Husband,0,0,<=50K
9,Never-married,Not-in-family,0,0,<=50K
13,Married-civ-spouse,Husband,0,0,<=50K
9,Married-civ-spouse,Wife,0,0,<=50K
9,Married-civ-spouse,Husband,0,0,<=50K
9,Divorced,Not-in-family,14344,0,>50K
9,Divorced,Own-child,0,0,<=50K
9,Married-civ-spouse,Husband,0,0,>50K
14,Married-civ-spouse,Husband,0,0,<=50K
5,Never-married,Not-in-family,0,0,<=50K
16,Never-married,Not-in-family,0,0,>50K
11,Married-civ-spouse,Husband,0,0,<=50K
10,Divorced,Unmarried,0,0,<=50K
10,Divorced,Unmarried,0,0,<=50K
9,Married-civ-spouse,Wife,0,1573,<=50K
13,Married-civ-spouse,Husband,0,0,>50K
10,Never-married,Not-in-family,0,0,<=50K
16,Married-civ-spouse,Husband,0,1902,>50K
10,Married-civ-spouse,Husband,0,0,>50K
12,Divorced,Unmarried,0,0,<=50K
9,Never-married,Own-child,0,0,<=50K
14,Married-civ-spouse,Husband,0,0,>50K
13,Married-civ-spouse,Husband,15024,0,>50K
14,Never-married,Not-in-family,0,0,<=50K
10,Never-married,Own-child,0,0,<=50K
9,Never-married,Not-in-family,0,0,<=50K
9,Married-civ-spouse,Husband,7688,0,>50K
6,Never-married,Own-child,34095,0,<=50K
7,Never-married,Own-child,0,0,<=50K
9,Never-married,Not-in-family,0,0,<=50K
9,Married-civ-spouse,Husband,0,0,<=50K
13,Never-married,Other-relative,0,0,<=50K
15,Married-civ-spouse,Husband,0,0,>50K
9,Married-civ-spouse,Husband,0,1887,>50K
10,Married-civ-spouse,Wife,4064,0,<=50K
9,Never-married,Own-child,0,0,<=50K
5,Married-civ-spouse,Husband,0,0,<=50K
10,Married-civ-spouse,Husband,0,0,<=50K
11,Married-civ-spouse,Husband,0,0,>50K
10,Married-civ-spouse,Husband,0,0,<=50K
9,Never-married,Not-in-family,0,0,<=50K
10,Never-married,Own-child,0,0,<=50K
13,Married-civ-spouse,Husband,0,0,<=50K
13,Never-married,Own-child,0,0,<=50K
13,Married-civ-spouse,Husband,0,0,>50K
10,Never-married,Own-child,0,0,<=50K
13,Married-civ-spouse,Wife,0,0,>50K
10,Never-married,Own-child,0,1719,<=50K
12,Married-civ-spouse,Husband,0,0,>50K
9,Married-civ-spouse,Husband,0,0,<=50K
10,Divorced,Not-in-family,0,0,<=50K
12,Never-married,Not-in-family,0,0,<=50K
9,Never-married,Not-in-family,0,1762,<=50K
9,Married-civ-spouse,Husband,4386,0,<=50K
13,Married-civ-spouse,Husband,0,0,<=50K
12,Divorced,Not-in-family,0,0,<=50K
14,Married-civ-spouse,Husband,0,0,>50K
9,Married-civ-spouse,Husband,0,0,<=50K
11,Married-civ-spouse,Wife,0,0,<=50K
10,Never-married,Own-child,0,0,<=50K
10,Married-civ-spouse,Husband,0,0,>50K
9,Married-civ-spouse,Husband,0,0,<=50K
10,Never-married,Own-child,0,0,<=50K
10,Never-married,Own-child,0,0,<=50K
11,Never-married,Not-in-family,0,1564,>50K
10,Never-married,Other-relative,0,0,<=50K
9,Never-married,Unmarried,0,0,<=50K
10,Married-civ-spouse,Husband,0,0,<=50K
9,Widowed,Unmarried,0,0,<=50K
7,Married-civ-spouse,Husband,0,2179,<=50K
10,Divorced,Not-in-family,0,0,<=50K
10,Divorced,Unmarried,0,0,<=50K
9,Never-married,Not-in-family,0,0,<=50K
13,Never-married,Other-relative,0,0,<=50K
9,Never-married,Own-child,0,0,<=50K
9,Divorced,Not-in-family,0,0,>50K
9,Married-civ-spouse,Husband,0,0,<=50K
13,Never-married,Not-in-family,0,0,<=50K
10,Separated,Unmarried,0,1816,<=50K
9,Divorced,Not-in-family,0,0,<=50K
13,Separated,Other-relative,0,0,<=50K
2,Divorced,Not-in-family,0,0,<=50K
9,Never-married,Unmarried,0,0,<=50K
14,Divorced,Unmarried,0,0,<=50K
9,Never-married,Not-in-family,0,0,<=50K
14,Married-civ-spouse,Husband,0,0,>50K
10,Divorced,Unmarried,0,0,<=50K
12,Never-married,Not-in-family,0,0,<=50K
14,Widowed,Unmarried,0,0,<=50K
7,Never-married,Own-child,0,0,<=50K
11,Widowed,Not-in-family,0,0,<=50K
9,Never-married,Not-in-family,0,1980,<=50K
9,Married-civ-spouse,Husband,0,0,<=50K
10,Married-civ-spouse,Husband,0,1977,>50K
13,Never-married,Not-in-family,0,0,<=50K
13,Married-civ-spouse,Husband,0,0,>50K
9,Married-spouse-absent,Unmarried,0,0,<=50K
9,Never-married,Own-child,0,0,<=50K
9,Never-married,Not-in-family,0,0,<=50K
9,Never-married,Own-child,0,0,<=50K
13,Married-civ-spouse,Husband,0,0,<=50K
10,Married-civ-spouse,Husband,0,0,>50K
10,Divorced,Not-in-family,0,0,<=50K
10,Never-married,Not-in-family,0,0,<=50K
4,Married-civ-spouse,Husband,0,0,>50K
10,Married-civ-spouse,Husband,0,0,>50K
9,Married-civ-spouse,Husband,0,0,<=50K
13,Divorced,Not-in-family,0,0,<=50K
13,Divorced,Not-in-family,0,0,<=50K
14,Married-civ-spouse,Wife,0,0,<=50K
16,Married-civ-spouse,Husband,0,0,>50K
10,Divorced,Not-in-family,0,0,<=50K
10,Married-civ-spouse,Husband,0,0,<=50K
13,Married-civ-spouse,Husband,0,0,<=50K
10,Married-civ-spouse,Husband,0,0,<=50K
13,Married-civ-spouse,Husband,0,0,<=50K
3,Married-civ-spouse,Other-relative,0,0,<=50K
10,Divorced,Not-in-family,0,0,<=50K
14,Never-married,Not-in-family,14084,0,>50K
14,Married-civ-spouse,Other-relative,7298,0,>50K
9,Never-married,Not-in-family,0,0,<=50K
14,Never-married,Not-in-family,0,1876,<=50K
9,Never-married,Own-child,0,0,<=50K
13,Married-civ-spouse,Husband,0,0,>50K
10,Never-married,Not-in-family,0,1340,<=50K
9,Divorced,Unmarried,0,0,<=50K
7,Never-married,Own-child,0,0,<=50K
13,Married-civ-spouse,Husband,7298,0,>50K
9,Divorced,Not-in-family,0,0,<=50K
9,Married-civ-spouse,Wife,15024,0,>50K
7,Never-married,Own-child,0,0,<=50K
9,Married-civ-spouse,Husband,0,0,<=50K
9,Married-civ-spouse,Husband,0,0,>50K
10,Never-married,Not-in-family,0,0,<=50K
9,Married-civ-spouse,Husband,0,0,<=50K
4,Married-civ-spouse,Husband,0,0,>50K
13,Never-married,Not-in-family,0,0,>50K
12,Divorced,Not-in-family,0,0,<=50K
13,Married-civ-spouse,Husband,0,0,<=50K
13,Married-civ-spouse,Husband,0,0,<=50K
6,Never-married,Not-in-family,0,0,<=50K
10,Married-civ-spouse,Husband,0,0,<=50K
2,Divorced,Not-in-family,0,0,<=50K
9,Never-married,Not-in-family,0,2206,<=50K
9,Married-civ-spouse,Husband,0,0,<=50K
1,Never-married,Not-in-family,0,0,<=50K
9,Never-married,Own-child,0,0,<=50K
6,Divorced,Not-in-family,0,0,<=50K
9,Married-civ-spouse,Husband,1409,0,<=50K
11,Widowed,Not-in-family,0,0,<=50K
9,Divorced,Not-in-family,0,0,<=50K
7,Separated,Not-in-family,3674,0,<=50K
9,Divorced,Unmarried,0,0,<=50K
10,Never-married,Not-in-family,0,0,<=50K
10,Divorced,Other-relative,0,0,<=50K
15,Never-married,Not-in-family,0,0,>50K
9,Married-civ-spouse,Husband,0,0,<=50K
10,Never-married,Not-in-family,0,0,<=50K
13,Married-civ-spouse,Husband,0,0,>50K
14,Married-civ-spouse,Husband,0,0,>50K
9,Never-married,Own-child,0,0,<=50K
13,Married-civ-spouse,Husband,0,0,>50K
9,Married-civ-spouse,Wife,0,0,<=50K
12,Married-civ-spouse,Husband,0,0,<=50K
10,Never-married,Own-child,0,0,<=50K
10,Divorced,Not-in-family,0,1741,<=50K
9,Married-civ-spouse,Husband,0,0,<=50K
9,Married-civ-spouse,Husband,0,0,>50K
9,Never-married,Not-in-family,0,0,<=50K
12,Married-civ-spouse,Husband,0,1977,>50K
9,Married-civ-spouse,Husband,0,0,<=50K
15,Married-civ-spouse,Wife,0,0,>50K
13,Married-civ-spouse,Wife,0,0,<=50K
6,Widowed,Unmarried,0,0,<=50K
10,Never-married,Own-child,0,0,<=50K
10,Never-married,Not-in-family,0,0,<=50K
9,Married-civ-spouse,Husband,0,0,>50K
9,Never-married,Own-child,0,0,<=50K
9,Separated,Not-in-family,0,0,<=50K
11,Widowed,Not-in-family,0,0,<=50K
4,Divorced,Not-in-family,0,0,<=50K
13,Divorced,Own-child,0,0,<=50K
9,Married-civ-spouse,Husband,0,0,<=50K
7,Never-married,Own-child,0,0,<=50K
10,Married-civ-spouse,Husband,4064,0,<=50K
7,Married-civ-spouse,Husband,0,0,<=50K
10,Married-civ-spouse,Husband,0,0,>50K
10,Never-married,Own-child,0,0,<=50K
9,Married-civ-spouse,Husband,0,0,>50K
13,Never-married,Not-in-family,0,0,<=50K
9,Married-civ-spouse,Wife,0,0,>50K
9,Married-civ-spouse,Husband,0,0,>50K
5,Never-married,Own-child,1055,0,<=50K
14,Married-civ-spouse,Husband,2407,0,<=50K
14,Never-married,Own-child,0,0,<=50K
9,Divorced,Own-child,0,0,<=50K
9,Married-civ-spouse,Husband,0,0,<=50K
10,Married-civ-spouse,Husband,7298,0,>50K
10,Never-married,Not-in-family,0,0,<=50K
10,Never-married,Own-child,0,0,<=50K
10,Married-civ-spouse,Wife,7298,0,>50K
13,Never-married,Not-in-family,0,0,<=50K
10,Married-civ-spouse,Husband,5178,0,>50K
12,Divorced,Unmarried,0,0,<=50K
13,Divorced,Not-in-family,0,0,<=50K
9,Never-married,Own-child,0,0,<=50K
14,Married-civ-spouse,Husband,15024,0,>50K
15,Married-civ-spouse,Husband,0,0,>50K
10,Divorced,Not-in-family,0,0,<=50K
13,Never-married,Not-in-family,0,0,<=50K
4,Married-civ-spouse,Husband,0,0,<=50K
13,Married-civ-spouse,Husband,0,0,<=50K
9,Divorced,Not-in-family,0,0,<=50K
13,Never-married,Not-in-family,0,0,<=50K
10,Never-married,Own-child,0,0,<=50K
13,Never-married,Unmarried,0,0,<=50K
9,Married-civ-spouse,Husband,0,0,<=50K
13,Divorced,Not-in-family,0,0,<=50K
14,Married-civ-spouse,Wife,3464,0,<=50K
9,Never-married,Own-child,0,0,<=50K
9,Divorced,Not-in-family,0,0,<=50K
13,Married-civ-spouse,Husband,7688,0,>50K
10,Never-married,Not-in-family,0,0,<=50K
9,Married-civ-spouse,Husband,0,0,>50K
9,Married-civ-spouse,Husband,4386,0,>50K
10,Married-civ-spouse,Wife,0,0,<=50K
9,Divorced,Not-in-family,0,0,<=50K
12,Never-married,Not-in-family,0,0,<=50K
12,Never-married,Not-in-family,0,0,<=50K
12,Married-civ-spouse,Husband,0,0,>50K
10,Married-civ-spouse,Husband,0,0,>50K
13,Never-married,Not-in-family,0,0,<=50K
14,Married-civ-spouse,Husband,7298,0,>50K
10,Never-married,Own-child,0,0,<=50K
13,Divorced,Not-in-family,0,0,>50K
10,Never-married,Own-child,0,0,<=50K
10,Never-married,Not-in-family,0,0,<=50K
10,Married-civ-spouse,Husband,0,0,<=50K
3,Married-civ-spouse,Other-relative,0,0,<=50K
10,Never-married,Not-in-family,0,0,<=50K
9,Widowed,Not-in-family,0,0,<=50K
9,Married-civ-spouse,Husband,0,0,<=50K
10,Married-civ-spouse,Husband,0,1485,<=50K
9,Divorced,Not-in-family,0,0,<=50K
7,Never-married,Not-in-family,0,0,<=50K
14,Married-civ-spouse,Husband,0,0,<=50K
9,Married-civ-spouse,Husband,0,0,<=50K
11,Never-married,Own-child,0,0,<=50K
10,Married-civ-spouse,Wife,0,1887,>50K
9,Married-civ-spouse,Husband,0,0,<=50K
9,Never-married,Not-in-family,2050,0,<=50K
10,Never-married,Not-in-family,0,0,<=50K
13,Never-married,Not-in-family,0,0,<=50K
11,Never-married,Not-in-family,0,0,<=50K
6,Married-civ-spouse,Husband,0,0,<=50K
9,Married-civ-spouse,Husband,0,0,<=50K
3,Never-married,Other-relative,0,0,<=50K
9,Never-married,Other-relative,0,0,<=50K
14,Never-married,Not-in-family,0,0,<=50K
9,Never-married,Unmarried,0,0,<=50K
9,Married-civ-spouse,Husband,0,0,<=50K
12,Never-married,Not-in-family,0,0,<=50K
11,Married-civ-spouse,Husband,7298,0,>50K
9,Married-civ-spouse,Husband,7298,0,>50K
9,Never-married,Not-in-family,0,0,<=50K
10,Never-married,Own-child,0,0,<=50K
13,Never-married,Not-in-family,0,0,<=50K
7,Married-civ-spouse,Husband,0,0,<=50K
11,Divorced,Unmarried,0,0,<=50K
12,Married-spouse-absent,Not-in-family,0,0,<=50K
13,Never-married,Own-child,0,0,<=50K
13,Married-civ-spouse,Husband,0,0,>50K
9,Married-civ-spouse,Husband,0,0,<=50K
13,Married-civ-spouse,Husband,0,0,>50K
7,Married-civ-spouse,Husband,0,0,<=50K
13,Married-civ-spouse,Husband,0,0,>50K
9,Married-civ-spouse,Husband,0,0,>50K
7,Widowed,Unmarried,0,0,<=50K
11,Married-civ-spouse,Husband,0,0,>50K
9,Married-civ-spouse,Wife,0,0,<=50K
5,Married-civ-spouse,Husband,0,0,<=50K
6,Married-civ-spouse,Wife,0,0,<=50K
14,Married-civ-spouse,Husband,0,0,>50K
13,Married-civ-spouse,Husband,0,0,<=50K
13,Divorced,Not-in-family,0,1564,>50K
9,Married-spouse-absent,Not-in-family,0,0,<=50K
9,Married-civ-spouse,Husband,0,0,<=50K
10,Married-civ-spouse,Husband,0,0,<=50K
12,Never-married,Not-in-family,0,0,<=50K
13,Divorced,Not-in-family,0,0,>50K
9,Divorced,Unmarried,0,0,<=50K
10,Never-married,Unmarried,0,0,<=50K
7,Never-married,Own-child,0,0,<=50K
11,Married-civ-spouse,Husband,0,0,>50K
9,Married-civ-spouse,Husband,0,0,<=50K
9,Never-married,Not-in-family,0,0,<=50K
10,Never-married,Own-child,0,0,<=50K
9,Married-civ-spouse,Wife,0,0,<=50K
10,Never-married,Not-in-family,0,0,<=50K
14,Divorced,Not-in-family,0,0,<=50K
9,Married-civ-spouse,Husband,0,0,<=50K
9,Divorced,Not-in-family,0,0,<=50K
3,Divorced,Not-in-family,0,2339,<=50K
10,Married-civ-spouse,Husband,0,0,<=50K
10,Divorced,Not-in-family,0,0,<=50K
10,Married-civ-spouse,Wife,0,0,<=50K
9,Never-married,Not-in-family,0,0,<=50K
9,Separated,Not-in-family,0,0,<=50K
10,Married-civ-spouse,Wife,0,2415,>50K
10,Never-married,Own-child,0,0,<=50K
9,Never-married,Other-relative,0,0,<=50K
9,Married-civ-spouse,Wife,0,0,>50K
13,Never-married,Not-in-family,0,0,<=50K
12,Separated,Not-in-family,0,0,<=50K
13,Married-civ-spouse,Husband,7688,0,>50K
9,Never-married,Not-in-family,0,0,<=50K
10,Married-civ-spouse,Husband,0,0,<=50K
10,Divorced,Unmarried,0,0,<=50K
9,Never-married,Other-relative,0,0,<=50K
13,Married-civ-spouse,Husband,0,0,>50K
13,Married-civ-spouse,Husband,0,0,>50K
10,Never-married,Own-child,0,0,<=50K
10,Never-married,Not-in-family,0,0,<=50K
13,Married-civ-spouse,Husband,0,0,>50K
11,Divorced,Not-in-family,0,0,<=50K
4,Married-civ-spouse,Husband,0,2179,<=50K
14,Married-civ-spouse,Husband,0,1977,>50K
9,Married-civ-spouse,Husband,0,0,<=50K
9,Married-civ-spouse,Husband,0,0,<=50K
10,Married-civ-spouse,Wife,0,1887,>50K
10,Married-civ-spouse,Husband,0,0,<=50K
10,Divorced,Not-in-family,0,0,<=50K
9,Never-married,Unmarried,0,0,<=50K
10,Divorced,Unmarried,0,0,<=50K
16,Married-civ-spouse,Husband,15024,0,>50K
10,Married-civ-spouse,Husband,0,0,<=50K
8,Divorced,Not-in-family,0,0,>50K
2,Married-civ-spouse,Husband,0,0,<=50K
7,Never-married,Own-child,0,0,<=50K
7,Separated,Not-in-family,0,0,<=50K
9,Divorced,Unmarried,0,0,<=50K
10,Married-civ-spouse,Husband,0,0,<=50K
7,Never-married,Own-child,2176,0,<=50K
13,Married-civ-spouse,Wife,0,0,>50K
9,Divorced,Not-in-family,0,0,<=50K
6,Never-married,Unmarried,0,0,<=50K
9,Married-civ-spouse,Husband,0,0,<=50K
14,Never-married,Not-in-family,0,1408,<=50K
9,Never-married,Not-in-family,0,0,<=50K
9,Married-civ-spouse,Husband,0,0,>50K
14,Married-civ-spouse,Husband,0,0,<=50K
9,Widowed,Not-in-family,0,0,<=50K
7,Never-married,Own-child,0,0,<=50K
13,Married-spouse-absent,Not-in-family,2174,0,<=50K
12,Married-civ-spouse,Wife,0,0,>50K
10,Never-married,Own-child,0,1980,<=50K
14,Married-civ-spouse,Husband,0,0,>50K
9,Never-married,Not-in-family,594,0,<=50K
10,Never-married,Not-in-family,0,0,<=50K
10,Married-civ-spouse,Husband,0,0,<=50K
10,Married-civ-spouse,Wife,0,0,<=50K
13,Never-married,Not-in-family,0,0,<=50K
9,Divorced,Not-in-family,0,0,<=50K
9,Never-married,Own-child,0,0,<=50K
10,Married-civ-spouse,Husband,0,0,>50K
5,Never-married,Other-relative,0,0,<=50K
10,Never-married,Not-in-family,0,0,<=50K
9,Widowed,Unmarried,0,0,<=50K
9,Married-civ-spouse,Husband,0,0,<=50K
9,Married-civ-spouse,Husband,0,0,<=50K
7,Never-married,Own-child,0,0,<=50K
9,Never-married,Own-child,0,0,<=50K
10,Married-civ-spouse,Husband,0,0,>50K
9,Married-civ-spouse,Husband,0,0,>50K
12,Married-civ-spouse,Husband,0,0,>50K
9,Married-civ-spouse,Wife,0,0,>50K
11,Married-civ-spouse,Husband,0,0,>50K
9,Married-civ-spouse,Wife,0,0,<=50K
10,Married-civ-spouse,Husband,0,0,<=50K
9,Married-civ-spouse,Husband,0,0,<=50K
10,Married-civ-spouse,Husband,0,0,<=50K
12,Never-married,Own-child,0,0,<=50K
9,Married-civ-spouse,Husband,0,0,<=50K
13,Married-civ-spouse,Husband,0,0,<=50K
2,Married-spouse-absent,Unmarried,0,0,<=50K
13,Never-married,Not-in-family,0,0,<=50K
9,Married-civ-spouse,Wife,0,0,<=50K
9,Divorced,Unmarried,0,0,<=50K
10,Married-civ-spouse,Husband,0,0,<=50K
14,Married-civ-spouse,Husband,0,1977,>50K
13,Married-civ-spouse,Wife,0,0,>50K
10,Never-married,Unmarried,0,0,>50K
10,Never-married,Own-child,0,0,<=50K
9,Never-married,Not-in-family,0,0,<=50K
9,Never-married,Not-in-family,0,0,<=50K
11,Divorced,Not-in-family,0,0,<=50K
13,Never-married,Not-in-family,0,0,<=50K
5,Never-married,Not-in-family,0,0,<=50K
10,Never-married,Own-child,0,0,<=50K
6,Never-married,Not-in-family,0,0,<=50K
9,Never-married,Unmarried,0,0,<=50K
12,Married-civ-spouse,Husband,0,0,<=50K
10,Married-civ-spouse,Husband,0,0,<=50K
13,Never-married,Not-in-family,0,0,<=50K
9,Married-spouse-absent,Unmarried,0,0,<=50K
8,Never-married,Other-relative,594,0,<=50K
10,Married-spouse-absent,Own-child,0,0,<=50K
2,Married-civ-spouse,Husband,0,0,<=50K
9,Married-civ-spouse,Husband,0,0,<=50K
13,Divorced,Unmarried,0,0,<=50K
13,Married-civ-spouse,Husband,15024,0,>50K
9,Never-married,Not-in-family,0,0,<=50K
9,Divorced,Not-in-family,0,0,<=50K
12,Never-married,Not-in-family,0,0,<=50K
9,Divorced,Unmarried,0,0,<=50K
13,Never-married,Own-child,0,0,<=50K
9,Divorced,Unmarried,0,0,<=50K
10,Never-married,Own-child,0,0,<=50K
3,Never-married,Own-child,0,0,<=50K
10,Never-married,Not-in-family,0,0,<=50K
9,Married-civ-spouse,Husband,0,0,<=50K
9,Never-married,Not-in-family,0,0,<=50K
9,Married-civ-spouse,Husband,0,0,<=50K
10,Married-civ-spouse,Husband,0,0,<=50K
10,Divorced,Unmarried,0,0,<=50K
13,Never-married,Not-in-family,0,0,<=50K
13,Never-married,Not-in-family,0,0,<=50K
10,Never-married,Own-child,0,0,<=50K
10,Married-civ-spouse,Husband,0,0,<=50K
9,Separated,Unmarried,0,0,<=50K
9,Divorced,Unmarried,0,0,<=50K
11,Married-spouse-absent,Unmarried,0,1380,<=50K
3,Widowed,Unmarried,0,0,<=50K
11,Never-married,Not-in-family,0,0,<=50K
10,Married-civ-spouse,Husband,0,0,>50K
9,Divorced,Not-in-family,0,0,<=50K
11,Widowed,Unmarried,0,0,<=50K
10,Never-married,Not-in-family,0,0,<=50K
10,Never-married,Own-child,0,0,<=50K
10,Never-married,Unmarried,0,0,<=50K
13,Married-civ-spouse,Husband,0,0,>50K
13,Married-civ-spouse,Husband,15024,0,>50K
9,Married-civ-spouse,Husband,7688,0,>50K
10,Divorced,Not-in-family,0,0,<=50K
10,Married-civ-spouse,Husband,0,0,>50K
10,Divorced,Unmarried,0,0,>50K
10,Married-civ-spouse,Wife,0,0,<=50K
13,Married-civ-spouse,Husband,0,0,>50K
10,Divorced,Not-in-family,0,0,<=50K
9,Married-civ-spouse,Husband,0,0,<=50K
14,Married-civ-spouse,Husband,0,0,<=50K
7,Divorced,Unmarried,0,0,<=50K
9,Never-married,Not-in-family,0,0,<=50K
9,Married-civ-spouse,Husband,0,0,<=50K
12,Married-civ-spouse,Wife,0,0,>50K
15,Married-civ-spouse,Husband,20051,0,>50K
8,Married-civ-spouse,Husband,0,0,<=50K
2,Widowed,Not-in-family,0,0,<=50K
11,Separated,Not-in-family,0,0,<=50K
13,Never-married,Not-in-family,0,0,<=50K
9,Never-married,Unmarried,0,0,<=50K
10,Married-civ-spouse,Husband,0,0,<=50K
16,Never-married,Own-child,0,0,<=50K
10,Never-married,Unmarried,0,0,<=50K
9,Never-married,Not-in-family,0,0,<=50K
10,Married-civ-spouse,Husband,0,0,<=50K
9,Never-married,Not-in-family,0,0,<=50K
6,Married-civ-spouse,Wife,0,0,<=50K
10,Married-civ-spouse,Husband,0,0,<=50K
9,Never-married,Own-child,0,0,<=50K
10,Never-married,Unmarried,0,0,<=50K
10,Divorced,Not-in-family,0,0,<=50K
9,Separated,Unmarried,0,0,<=50K
7,Widowed,Unmarried,0,0,<=50K
9,Married-civ-spouse,Wife,0,0,<=50K
11,Divorced,Unmarried,0,0,>50K
7,Never-married,Not-in-family,0,0,<=50K
9,Married-civ-spouse,Husband,0,0,<=50K
9,Separated,Unmarried,0,0,<=50K
9,Married-civ-spouse,Wife,0,0,<=50K
7,Married-civ-spouse,Husband,0,0,<=50K
13,Never-married,Not-in-family,0,0,<=50K
13,Married-civ-spouse,Husband,0,0,>50K
10,Married-civ-spouse,Husband,0,0,>50K
9,Never-married,Unmarried,0,0,<=50K
13,Married-civ-spouse,Husband,0,0,>50K
9,Never-married,Own-child,0,0,<=50K
14,Married-civ-spouse,Husband,5013,0,<=50K
4,Separated,Unmarried,0,0,<=50K
9,Separated,Not-in-family,0,0,<=50K
14,Divorced,Unmarried,0,0,<=50K
9,Never-married,Own-child,0,0,<=50K
9,Married-civ-spouse,Husband,0,0,<=50K
7,Never-married,Own-child,0,0,<=50K
11,Married-civ-spouse,Husband,0,1977,>50K
16,Never-married,Not-in-family,0,0,<=50K
13,Married-civ-spouse,Wife,0,0,>50K
8,Never-married,Own-child,0,0,<=50K
12,Divorced,Unmarried,0,0,<=50K
